region,disasterNumber,sandyDisaster,disasterType,incidentType,declarationDate,stateAbbreviation,state,county,applicantName,pnpStatus,damageCategoryCode,federalShareObligated,dateObligated,pwNumber,projectTitle,versionNumber,id
4,4337,0,DR,Hurricane,2017-09-10T00:00:00.000Z,FL,Florida,Highlands,HIGHLANDS (COUNTY),0,B - Protective Measures,-144146.23,2024-02-12T15:31:55.000Z,7289,6476 - Running of the Emergency Operation Center 9/4 to,1,65149fb7-d545-4d81-a4d3-9c5633571e94
6,4080,0,DR,Hurricane,2012-08-29T00:00:00.000Z,LA,Louisiana,Jefferson,GRETNA,0,B - Protective Measures,-302249.64,2024-02-15T21:42:09.000Z,944,CGR002B Emergency Protective Measures,1,41b51e9b-9c32-49f5-94a9-93538261cdb8
6,4611,0,DR,Hurricane,2021-08-29T00:00:00.000Z,LA,Louisiana,Jefferson,JEFFERSON (PARISH),0,G - Recreational or Other,221106.60,2024-02-12T22:35:02.000Z,2906,729789 - Harold McDonald Sr. Playground,0,3c83ef56-3056-4bcd-bcac-b6658d30a560
4,4712,0,DR,Severe Storm,2023-05-17T00:00:00.000Z,TN,Tennessee,Lawrence,LAWRENCEBURG,0,B - Protective Measures,11720.77,2024-02-12T19:21:56.000Z,90,734659 - Lawrenceburg City Emergency Measures,0,56577ce6-f971-4f0f-ba15-9e97ce6a4b4a
4,4712,0,DR,Severe Storm,2023-05-17T00:00:00.000Z,TN,Tennessee,Lawrence,LAWRENCE (COUNTY),0,Z - State Management,1346.75,2024-02-12T19:23:07.000Z,91,735787 - Lawrence County Mangement Costs,0,68cdb1c8-3151-47fb-b4cd-1ce7ef11096b
7,4420,0,DR,Flood,2019-03-21T00:00:00.000Z,NE,Nebraska,Platte,COLUMBUS,0,G - Recreational or Other,-75128.52,2024-02-13T13:05:11.000Z,1456,121513 - Golf Course Irrigation System,3,be284c7a-6e07-427e-a4b4-4a4c230f1a03
1,4516,0,DR,Biological,2020-04-03T00:00:00.000Z,NH,New Hampshire,Statewide,STATE OF NEW HAMPSHIRE DEPARTMENT OF SAFETY,0,B - Protective Measures,281428.70,2024-02-15T04:23:10.000Z,90,164633 - DR4516 - Concord Hospital - Concord ACS Location,2,5b1f9b08-33fe-4827-abf3-a8221a7747f6
1,4624,0,DR,Flood,2021-10-04T00:00:00.000Z,NH,New Hampshire,Sullivan,LEMPSTER (TOWN OF),0,Z - State Management,28931.72,2024-02-09T19:26:47.000Z,87,743507 - DR4624 Town of Lempster - Management Costs,0,d29f54d7-1530-45a1-8be2-2bd74a2acd01
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Bergen,FORT LEE,0,Z - State Management,9548.13,2024-02-12T16:51:29.000Z,2386,743132 - Management Costs,0,3eb3e7b5-4680-48f5-909c-d6546415d66a
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Burlington,VIRTUA,1,Z - State Management,1701221.95,2024-02-15T17:17:25.000Z,300,169284 - Management Costs V2 - Virtua Health,2,8884a653-7467-4c81-8679-1047d16c7984
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Burlington,VIRTUA,1,B - Protective Measures,1068970.70,2024-02-15T17:23:55.000Z,2383,725528 - 7/2/22 - 5/11/23 Contracts 90% Cost Share - Virtua,0,e2a16c98-6c1f-42db-9f29-d57ef4dcbee8
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Morris,MADISON,0,B - Protective Measures,110186.89,2024-02-12T16:49:46.000Z,2363,710556 - MRFC2,0,946331f2-6975-4702-ad53-9e2ab8f45d64
2,4488,0,DR,Biological,2020-03-25T00:00:00.000Z,NJ,New Jersey,Passaic,ST. JOSEPH'S REGIONAL MEDICAL CENTER,1,B - Protective Measures,3125845.45,2024-02-12T16:50:51.000Z,2278,692991 - PPE Supplies (Jul 2021 - Jun 2022),0,bd2bc62a-a3cb-4d99-967a-3e6640cfea28
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,PARK BOARD OF TRUSTEES (OF THE CITY OF GALVESTON),0,G - Recreational or Other,1623.99,2024-02-15T13:34:03.000Z,14644,SP-106 Seawolf Park - Cavalla Repairs,3,eb459723-f95d-45b5-82c2-b5654f6f3c61
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,PORT OF GALVESTON,0,G - Recreational or Other,-55968.66,2024-02-13T23:24:08.000Z,15835,POG'S14 Pier 35-36 T-Head Storm Induced Erosion,5,85c58dee-06b5-48a3-a4b5-bfe980f97b81
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,GALVESTON (COUNTY),0,C - Roads and Bridges,-5005.13,2024-02-13T23:24:08.000Z,13844,GCR1164 Roadway/Culverts,1,ec0b53f6-65c3-4c7d-a2c9-153bc1429694
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,GALVESTON (COUNTY),0,C - Roads and Bridges,2228.69,2024-02-14T17:33:11.000Z,13221,GCR1208   Roadway/Culverts,2,6ce4e1f8-c01d-44bd-8800-8149aed531ca
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,GALVESTON (COUNTY),0,C - Roads and Bridges,1063.60,2024-02-14T17:33:11.000Z,13198,GCR1153 Roadway/Culverts,2,a1daf275-76d0-4ae6-ac79-1aa9ecaba524
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,GALVESTON (COUNTY),0,C - Roads and Bridges,3628.40,2024-02-14T17:33:11.000Z,12839,GCR1037 Roadway/Culverts,2,c22267ec-27ea-4d50-b380-9314a0749628
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,GALVESTON,0,F - Public Utilities,-2510.73,2024-02-13T23:24:08.000Z,14803,SW-159 Airport WWTP,7,d2516f7e-827f-4583-a1c5-8fec6f312946
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,PARK BOARD OF TRUSTEES (OF THE CITY OF GALVESTON),0,E - Public Buildings,10805.63,2024-02-15T13:34:03.000Z,14515,DP-103 Park Pavillion,3,12d50283-193e-4c2d-b7d2-94cb0e3fb65b
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,PARK BOARD OF TRUSTEES (OF THE CITY OF GALVESTON),0,G - Recreational or Other,1780.53,2024-02-15T13:34:03.000Z,14425,SB-102 Stewart Beach Site,4,e8e531a5-3e39-47fb-b102-58cd66ea8c64
6,1791,0,DR,Hurricane,2008-09-13T00:00:00.000Z,TX,Texas,Galveston,PARK BOARD OF TRUSTEES (OF THE CITY OF GALVESTON),0,G - Recreational or Other,19402.08,2024-02-15T13:34:03.000Z,14613,SP-107 Seawolf Park Grounds,4,592d6d5e-e32c-454c-bdae-153ac2e28a61
6,4332,0,DR,Hurricane,2017-08-25T00:00:00.000Z,TX,Texas,Galveston,COMPTON MEMORIAL CHURCH OF GOD IN CHRIST,1,Z - State Management,-827.41,2024-02-13T22:54:35.000Z,4686,66724 - PAAP - DAC Pilot.,1,9e7e2aa5-ba87-481c-9afc-92f9388951c8
9,4708,0,DR,Flood,2023-04-27T00:00:00.000Z,NV,Nevada,Storey,STOREY (COUNTY),0,A - Debris Removal,29970.83,2024-02-10T00:20:19.000Z,23,722537 - Debris Removal- County wide,0,56f1d1c2-69d0-4a61-a3bf-0d6b70cb956a
